data,regiao,canal,produto,invest_marketing,ligacoes_vendas,visitas_site,emails_enviados,preco,preco_concorrente,desconto_pct,satisfacao,tickets_suporte,cliente_recorrente,sazonalidade_mes,unidades_vendidas,receita,transacoes,ticket_medio,lead_vai_comprar
2023-02-19,Nordeste,Online,C,3821.0,2,3345,1125,139.31,133.86,0.025,3.17,3,0,2,174,23641.9,144,164.18,1
2023-02-20,Centro-Oeste,Representante,B,2182.0,10,2245,524,126.74,99.22,0.127,3.63,0,1,2,152,16812.52,121,138.95,1
2023-02-20,Sudeste,Loja Física,B,3137.0,8,1674,815,141.53,147.52,0.019,4.37,2,1,2,145,20127.36,92,218.78,1
2023-02-20,Centro-Oeste,Representante,A,742.0,9,1432,944,150.97,143.33,0.067,4.25,1,0,2,110,15494.85,106,146.18,1
2023-02-21,Centro-Oeste,Loja Física,C,1027.0,9,1666,890,122.79,135.94,0.067,4.09,0,1,2,129,14785.08,105,140.81,1
2023-02-21,Sul,Online,C,2782.0,9,1833,1008,131.13,140.05,0.072,3.18,0,1,2,124,15085.53,79,190.96,1
2023-02-21,Sudeste,Loja Física,A,777.0,8,511,1019,135.18,129.23,0.023,5.0,0,1,2,86,11356.95,64,177.45,0
2023-02-22,Sudeste,Representante,A,2727.0,7,1649,995,91.5,87.93,0.017,3.74,1,0,2,125,11238.83,165,68.11,1
2023-02-22,Sudeste,Loja Física,B,5784.0,4,3689,2008,95.23,106.07,0.026,3.05,0,0,2,265,24575.98,173,142.06,1
2023-02-22,Sul,Loja Física,A,2787.0,4,2499,1679,130.32,126.55,0.047,3.27,2,1,2,178,22098.64,172,128.48,1
2023-02-22,Centro-Oeste,Loja Física,B,1983.0,7,1694,1173,124.85,135.01,0.079,4.84,2,0,2,147,16896.25,125,135.17,1
2023-02-22,Nordeste,Online,C,2518.0,4,1554,1749,121.75,115.83,0.048,3.46,2,1,2,122,14138.96,148,95.53,1
2023-02-23,Centro-Oeste,Representante,C,1896.0,9,1929,778,124.94,122.51,0.165,3.67,0,0,2,117,12205.39,132,92.47,1
2023-02-23,Sul,Loja Física,C,5231.0,7,2616,1697,98.93,86.25,0.049,3.13,1,0,2,159,14963.79,218,68.64,1
2023-02-23,Sudeste,Online,B,6263.0,7,3555,2014,84.71,101.3,0.061,3.72,2,0,2,281,22358.3,347,64.43,1
2023-02-23,Centro-Oeste,Loja Física,B,4661.0,4,3026,2018,95.06,95.43,0.128,4.38,1,0,2,220,18228.74,139,131.14,1
2023-02-23,Nordeste,Loja Física,A,1831.0,6,1647,781,126.79,123.32,0.066,3.62,0,1,2,106,12546.77,119,105.44,1
2023-02-23,Sul,Online,A,526.0,5,1184,826,132.02,125.19,0.023,3.1,1,0,2,86,11093.62,53,209.31,1
2023-02-24,Centro-Oeste,Online,C,5672.0,10,3299,2067,126.77,143.3,0.041,3.51,1,0,2,217,26387.95,173,152.53,1
2023-02-26,Sul,Loja Física,A,2220.0,7,2018,704,114.49,109.44,0.068,4.13,1,1,2,133,14199.21,183,77.59,1
2023-02-27,Sudeste,Loja Física,B,1511.0,10,1571,617,133.15,132.05,0.062,2.44,0,0,2,106,13239.08,103,128.53,1
2023-02-27,Sudeste,Online,B,4649.0,10,3040,1274,123.91,118.43,0.111,3.24,0,0,2,222,24452.06,163,150.01,1
2023-02-27,Nordeste,Online,A,5679.0,6,4708,1425,154.55,161.55,0.046,4.2,5,0,2,278,40989.99,216,189.77,1
2023-02-27,Sul,Representante,B,1595.0,5,2322,1451,107.81,98.46,0.03,3.05,1,0,2,161,16837.89,107,157.36,1
2023-02-27,Nordeste,Online,C,1077.0,7,978,1027,119.88,136.27,0.062,4.13,0,1,2,94,10567.92,72,146.78,1
2023-02-27,Nordeste,Loja Física,C,2430.0,5,2710,1144,157.17,169.16,0.028,4.32,3,0,2,144,21999.76,109,201.83,1
2023-02-28,Sudeste,Online,C,1023.0,6,1022,687,99.9,107.16,0.082,4.26,1,0,2,83,7614.65,105,72.52,1
2023-03-01,Nordeste,Online,C,2479.0,10,1684,1183,163.51,164.91,0.035,4.08,0,0,3,112,17681.08,91,194.3,1
2023-03-01,Nordeste,Online,B,1818.0,6,1816,767,124.11,122.32,0.101,3.52,0,0,3,124,13835.44,117,118.25,1
2023-03-03,Nordeste,Online,A,3884.0,5,2240,1564,162.65,192.51,0.013,3.28,2,0,3,158,25353.46,167,151.82,1
2023-03-03,Sul,Loja Física,B,3890.0,10,4362,1300,126.62,128.17,0.06,3.62,0,1,3,284,33803.87,367,92.11,1
2023-03-03,Sul,Loja Física,C,2378.0,12,2702,1216,113.33,107.69,0.063,3.53,0,0,3,153,16245.26,149,109.03,1
2023-03-04,Nordeste,Representante,A,1925.0,8,2017,873,120.32,117.41,0.036,4.77,0,0,3,137,15889.27,103,154.26,1
2023-03-04,Sudeste,Loja Física,B,3920.0,5,2233,1248,135.65,118.95,0.053,2.87,1,1,3,174,22345.26,217,102.97,1
2023-03-04,Sul,Loja Física,A,1225.0,9,1204,686,114.67,106.38,0.037,4.45,0,0,3,94,10378.11,62,167.39,1
2023-03-06,Sudeste,Online,A,2437.0,7,2619,839,122.7,123.53,0.021,4.22,0,1,3,193,23182.35,136,170.46,1
2023-03-06,Sul,Representante,B,3289.0,3,2202,980,131.8,135.06,0.055,3.4,0,1,3,162,20168.74,216,93.37,1
2023-03-06,Sudeste,Loja Física,A,2504.0,5,2235,1030,105.55,103.78,0.055,4.67,0,1,3,166,16558.28,184,89.99,1
2023-03-07,Sudeste,Online,A,1876.0,6,1534,1109,127.62,122.17,0.081,2.56,2,0,3,112,13133.72,156,84.19,1
2023-03-09,Centro-Oeste,Representante,C,533.0,15,683,523,112.69,115.99,0.077,3.65,0,1,3,71,7384.45,79,93.47,1
2023-03-10,Centro-Oeste,Online,A,3308.0,7,1843,1536,136.0,136.12,0.122,3.59,1,1,3,155,18507.03,132,140.2,1
2023-03-10,Sudeste,Loja Física,A,1791.0,9,1097,923,73.29,69.38,0.073,3.31,0,0,3,90,6114.77,107,57.15,1
2023-03-10,Nordeste,Loja Física,A,3390.0,9,2546,1155,106.27,97.56,0.064,3.54,0,0,3,154,15324.25,157,97.61,1
2023-03-11,Sul,Loja Física,A,3430.0,8,2715,1062,102.65,114.46,0.011,4.48,0,0,3,169,17165.3,162,105.96,1
2023-03-13,Sul,Representante,B,1734.0,8,2049,822,110.85,100.65,0.101,3.82,1,0,3,135,13458.72,99,135.95,1
2023-03-15,Sul,Online,C,1183.0,7,1716,562,116.35,135.67,0.092,3.95,1,1,3,119,12567.62,75,167.57,1
2023-03-16,Sul,Loja Física,A,3997.0,9,3401,1464,133.31,135.57,0.147,3.98,0,1,3,226,25702.86,215,119.55,1
2023-03-16,Centro-Oeste,Online,C,1028.0,11,1785,1088,79.23,77.75,0.123,3.44,0,1,3,129,8959.16,131,68.39,1
2023-03-17,Centro-Oeste,Loja Física,C,1858.0,12,1528,632,124.91,116.64,0.101,4.35,0,1,3,109,12237.48,103,118.81,1
2023-03-17,Sudeste,Representante,A,4719.0,9,3273,1462,137.88,154.29,0.042,3.73,1,0,3,231,30524.61,211,144.67,1
2023-03-17,Sul,Online,B,1176.0,10,2020,1402,116.53,123.28,0.013,3.5,1,0,3,164,18872.01,201,93.89,1
2023-03-21,Centro-Oeste,Loja Física,A,3103.0,13,2461,1146,101.2,108.54,0.031,4.02,0,1,3,175,17161.75,238,72.11,1
2023-03-22,Nordeste,Loja Física,A,1400.0,11,1224,1160,75.9,59.56,0.057,2.14,1,1,3,93,6655.08,78,85.32,1
2023-03-22,Sudeste,Loja Física,B,1152.0,3,1292,535,114.94,114.37,0.083,3.6,0,1,3,109,11494.17,91,126.31,1
2023-03-22,Sul,Representante,C,2002.0,5,1719,1154,104.25,101.68,0.035,3.71,0,1,3,128,12871.34,161,79.95,1
2023-03-23,Sudeste,Online,C,1527.0,15,2310,542,153.26,159.05,0.047,2.89,3,0,3,137,20011.07,131,152.76,1
2023-03-25,Nordeste,Loja Física,B,2175.0,8,1159,1052,89.33,86.98,0.141,3.49,0,0,3,85,6524.45,99,65.9,1
2023-03-27,Centro-Oeste,Loja Física,B,1635.0,9,2075,841,147.31,130.99,0.034,2.2,0,0,3,126,17933.84,99,181.15,1
2023-03-27,Sul,Loja Física,A,3691.0,8,2566,1547,113.68,131.91,0.047,4.41,1,0,3,179,19386.47,158,122.7,1
2023-03-29,Nordeste,Representante,C,1790.0,8,1833,635,132.12,123.04,0.016,3.79,0,0,3,103,13390.2,115,116.44,1
2023-03-30,Centro-Oeste,Online,C,4045.0,10,2410,1664,119.81,98.27,0.123,3.36,1,1,3,171,17963.18,143,125.62,0
2023-03-30,Sudeste,Online,C,1251.0,9,2562,618,141.63,145.96,0.105,2.81,3,0,3,147,18637.47,163,114.34,1
2023-03-31,Nordeste,Online,B,1826.0,12,940,724,113.55,118.59,0.061,3.9,1,1,3,95,10133.26,61,166.12,1
2023-03-31,Sul,Online,A,299.0,6,1536,291,105.32,115.16,0.125,3.28,0,1,3,105,9680.99,123,78.71,1
2023-03-31,Nordeste,Loja Física,C,2422.0,3,2136,751,105.11,109.56,0.027,3.67,0,0,3,115,11755.68,104,113.04,1
2023-04-01,Sul,Representante,A,8215.0,9,4294,2288,140.98,155.52,0.069,4.79,0,0,4,291,38186.26,273,139.88,1
2023-04-02,Sul,Online,B,2746.0,8,1993,1013,111.91,123.26,0.088,4.67,0,1,4,168,17151.93,144,119.11,1
2023-04-02,Centro-Oeste,Online,B,837.0,5,1778,573,150.85,157.75,0.058,2.7,2,0,4,121,17196.69,145,118.6,1
2023-04-02,Nordeste,Loja Física,B,3338.0,11,2106,1337,85.86,83.92,0.043,4.17,2,1,4,160,13152.55,120,109.6,1
2023-04-03,Nordeste,Loja Física,A,2891.0,7,3529,1196,112.01,88.82,0.134,4.85,0,0,4,200,19399.5,202,96.04,1
2023-04-04,Sul,Representante,B,3957.0,5,2652,1194,123.79,133.73,0.023,3.77,0,1,4,198,23951.91,167,143.42,1
2023-04-05,Centro-Oeste,Loja Física,B,2951.0,12,1875,863,87.32,92.01,0.023,4.34,0,0,4,139,11855.38,128,92.62,1
2023-04-05,Centro-Oeste,Online,A,2594.0,10,1863,888,155.07,168.52,0.11,4.45,0,0,4,139,19180.39,181,105.97,1
2023-04-06,Nordeste,Loja Física,B,1779.0,11,1150,1135,135.12,146.56,0.013,4.27,1,1,4,112,14940.85,99,150.92,1
2023-04-06,Sul,Online,A,1611.0,11,1420,379,115.47,141.47,0.064,4.23,1,1,4,116,12538.68,101,124.15,1
2023-04-06,Centro-Oeste,Online,C,4244.0,6,3275,1341,114.03,106.79,0.1,4.75,0,1,4,210,21555.89,190,113.45,1
2023-04-06,Sul,Online,A,3279.0,9,2247,1399,100.26,102.75,0.125,4.47,1,0,4,164,14387.7,103,139.69,1
2023-04-06,Nordeste,Loja Física,C,1763.0,3,1282,1548,151.97,136.82,0.074,3.3,2,0,4,90,12668.52,119,106.46,1
2023-04-07,Centro-Oeste,Loja Física,B,2105.0,4,1716,1097,136.62,150.72,0.018,3.72,1,0,4,131,17571.84,157,111.92,1
2023-04-07,Nordeste,Representante,A,5890.0,5,3543,1810,139.43,135.8,0.044,3.61,0,0,4,214,28518.25,187,152.5,1
2023-04-08,Nordeste,Representante,A,3187.0,8,2160,1999,120.82,128.81,0.043,3.8,0,0,4,158,18273.34,136,134.36,1
2023-04-09,Sul,Representante,B,4566.0,7,3540,1027,88.78,86.45,0.13,4.12,3,0,4,226,17452.57,209,83.51,1
2023-04-09,Nordeste,Representante,A,1801.0,12,2375,585,134.93,145.13,0.086,3.14,1,1,4,147,18135.33,180,100.75,1
2023-04-09,Nordeste,Online,A,3886.0,11,3064,1077,119.03,140.27,0.049,3.4,0,1,4,200,22627.88,262,86.37,1
2023-04-09,Sul,Loja Física,C,9499.0,7,4788,2232,137.1,139.89,0.046,4.93,0,0,4,282,36869.66,260,141.81,1
2023-04-09,Sudeste,Online,A,5264.0,8,3059,1370,130.03,137.62,0.017,2.59,2,0,4,211,26968.16,226,119.33,1
2023-04-09,Nordeste,Loja Física,B,3259.0,7,2761,955,106.2,102.35,0.104,2.45,0,1,4,171,16275.09,142,114.61,1
2023-04-09,Centro-Oeste,Loja Física,C,5328.0,10,4148,1865,127.01,114.32,0.115,5.0,1,1,4,260,29214.46,226,129.27,1
2023-04-09,Sul,Representante,B,1899.0,5,1833,927,98.54,106.33,0.014,4.32,0,1,4,151,14668.96,168,87.32,1
2023-04-10,Sul,Representante,A,2660.0,6,2066,1181,74.69,93.07,0.133,4.25,1,1,4,159,10294.85,142,72.5,1
2023-04-10,Nordeste,Representante,B,2288.0,10,1569,1170,116.95,111.71,0.097,3.94,0,1,4,131,13833.27,90,153.7,1
2023-04-10,Nordeste,Loja Física,B,299.0,4,1757,736,109.61,97.38,0.051,3.55,0,0,4,108,11232.99,143,78.55,1
2023-04-10,Sul,Online,B,994.0,9,969,578,113.4,119.91,0.053,5.0,0,0,4,88,9451.75,113,83.64,1
2023-04-11,Nordeste,Representante,C,1001.0,8,1502,598,68.36,58.06,0.143,3.06,0,0,4,84,4922.49,61,80.7,1
2023-04-11,Nordeste,Loja Física,C,1952.0,5,1272,703,128.91,125.64,0.127,4.62,1,0,4,84,9447.94,75,125.97,1
2023-04-11,Nordeste,Loja Física,A,3040.0,5,2606,1335,133.67,135.12,0.043,3.06,0,0,4,149,19051.85,154,123.71,1
2023-04-11,Sul,Representante,C,2426.0,12,2050,1033,150.55,143.55,0.1,4.0,0,1,4,141,19114.06,121,157.97,1
2023-04-13,Sul,Loja Física,B,1868.0,5,2154,783,114.16,111.78,0.019,3.47,2,1,4,151,16913.64,211,80.16,1
2023-04-13,Nordeste,Online,A,4104.0,7,3322,1619,148.37,142.11,0.021,3.68,1,1,4,214,31077.51,150,207.18,1
2023-04-13,Nordeste,Representante,B,884.0,6,698,390,116.81,110.57,0.069,3.09,8,0,4,51,5545.11,57,97.28,1
2023-04-14,Sudeste,Online,A,2508.0,6,1523,983,114.81,86.67,0.052,3.31,1,1,4,121,13170.67,85,154.95,1
2023-04-14,Centro-Oeste,Representante,A,972.0,5,980,499,124.22,122.72,0.128,4.29,0,0,4,76,8229.97,79,104.18,1
2023-04-15,Sul,Loja Física,B,496.0,8,768,820,99.77,110.96,0.079,2.6,2,0,4,71,6526.99,43,151.79,0
2023-04-16,Nordeste,Loja Física,B,1670.0,5,2278,958,142.01,154.17,0.087,3.95,0,0,4,154,19975.71,215,92.91,1
2023-04-16,Sudeste,Representante,C,3211.0,8,2055,1432,110.81,109.44,0.064,2.92,3,1,4,153,15861.18,155,102.33,1
2023-04-17,Nordeste,Online,A,4034.0,12,2913,1145,126.64,129.81,0.107,4.63,0,0,4,183,20704.51,121,171.11,1
2023-04-18,Sul,Online,B,2386.0,6,1607,1067,108.97,101.77,0.091,3.84,0,0,4,116,11493.35,70,164.19,1
2023-04-18,Nordeste,Loja Física,C,1365.0,11,1966,652,99.2,90.43,0.036,3.04,0,0,4,101,9660.73,120,80.51,1
2023-04-19,Nordeste,Representante,A,4384.0,6,2677,1746,94.57,87.84,0.058,3.75,1,0,4,175,15592.07,177,88.09,1
2023-04-22,Sul,Online,C,1260.0,10,1874,644,137.49,126.76,0.059,3.46,0,0,4,106,13707.68,147,93.25,1
